# rho      extc_time
0.00100000 0.02996848
0.00200000 0.05940452
0.00300000 0.08718203
0.00400000 0.11344418
0.00500000 0.13831833
0.00600000 0.16191805
0.00700000 0.18434478
0.00800000 0.20568933
0.00900000 0.22603309
0.01000000 0.24544912
0.01100000 0.26400308
0.01200000 0.28175399
0.01300000 0.29875491
0.01400000 0.31505352
0.01500000 0.33069256
0.01600000 0.34571026
0.01700000 0.36070606
0.01800000 0.37455738
0.01900000 0.38787853
0.02000000 0.40069176
0.02100000 0.41301557
0.02200000 0.42486456
0.02300000 0.43624920
0.02400000 0.44717546
0.02500000 0.45764430
0.02600000 0.46765089
0.02700000 0.47718360
0.02800000 0.48622269
0.02900000 0.49473847
0.03000000 0.50268892
0.03100000 0.51001660
0.03200000 0.51664448
0.03300000 0.52247050
0.03400000 0.52736024
0.03500000 0.53113735
