# rho      extc_time
0.00100000 0.05024225
0.00200000 0.08512853
0.00300000 0.11411243
0.00400000 0.13963499
0.00500000 0.16276960
0.00600000 0.18411314
0.00700000 0.20404186
0.00800000 0.22281256
0.00900000 0.24061048
0.01000000 0.25757484
0.01100000 0.27381364
0.01200000 0.28941277
0.01300000 0.30444197
0.01400000 0.31895880
0.01500000 0.33301150
0.01600000 0.34664095
0.01700000 0.36040420
0.01800000 0.37327376
0.01900000 0.38581277
0.02000000 0.39804427
0.02100000 0.40998858
0.02200000 0.42166373
0.02300000 0.43308576
0.02400000 0.44426900
0.02500000 0.45522621
0.02600000 0.46596878
0.02700000 0.47650682
0.02800000 0.48684918
0.02900000 0.49700344
0.03000000 0.50697573
0.03100000 0.51677046
0.03200000 0.52638952
0.03300000 0.53583064
0.03400000 0.54508319
0.03500000 0.55411514
