# rho      extc_time
0.00100000 0.03122723
0.00200000 0.06063737
0.00300000 0.08839144
0.00400000 0.11463233
0.00500000 0.13948720
0.00600000 0.16306941
0.00700000 0.18548024
0.00800000 0.20681035
0.00900000 0.22714101
0.01000000 0.24654517
0.01100000 0.26508841
0.01200000 0.28282967
0.01300000 0.29982195
0.01400000 0.31611288
0.01500000 0.33174517
0.01600000 0.34675703
0.01700000 0.36118244
0.01800000 0.37505143
0.01900000 0.38839020
0.02000000 0.40122119
0.02100000 0.41356310
0.02200000 0.42543076
0.02300000 0.43683492
0.02400000 0.44778188
0.02500000 0.45827295
0.02600000 0.46830378
0.02700000 0.47786332
0.02800000 0.48693250
0.02900000 0.49548250
0.03000000 0.50347238
0.03100000 0.51084607
0.03200000 0.51752827
0.03300000 0.52341912
0.03400000 0.52838706
0.03500000 0.53225937
